	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published
135	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (3.60 GHz, Intel Xeon Platinum 8156)	8	2	4	3600	16	580	545	Oct-2017
136	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.00 GHz, Intel Xeon Platinum 8153)	32	2	16	2000	64	1430	1360	Oct-2017
137	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.00 GHz, Intel Xeon Platinum 8164)	52	2	26	2000	104	2340	2220	Sep-2017
138	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.10 GHz, Intel Xeon Platinum 8160)	48	2	24	2100	96	2270	2160	Sep-2017
139	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.10 GHz, Intel Xeon Platinum 8170)	52	2	26	2100	104	2420	2290	Sep-2017
140	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (2.10 GHz, Intel Xeon Platinum 8176)	56	2	28	2100	112	2560	2430	Jul-2017
141	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (3.00 GHz, Intel Xeon Platinum 8158)	24	2	12	3000	48	1560	1460	Sep-2017
142	CINT2006rate	Lenovo Global Technology	ThinkSystem SN550 (3.60 GHz, Intel Xeon Platinum 8156)	8	2	4	3600	16	581	544	Oct-2017
143	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.00 GHz, Intel Xeon Platinum 8153)	64	4	16	2000	128	2830	2700	Sep-2017
144	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.00 GHz, Intel Xeon Platinum 8164)	104	4	26	2000	208	4530	4310	Sep-2017
145	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.10 GHz, Intel Xeon Platinum 8160)	96	4	24	2100	192	4400	4180	Sep-2017
146	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.10 GHz, Intel Xeon Platinum 8170)	104	4	26	2100	208	4670	4440	Sep-2017
147	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (2.10 GHz, Intel Xeon Platinum 8176)	112	4	28	2100	224	5010	4760	Jul-2017
148	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (3.00 GHz, Intel Xeon Platinum 8158)	48	4	12	3000	96	3060	2890	Oct-2017
149	CINT2006rate	Lenovo Global Technology	ThinkSystem SN850 (3.60 GHz, Intel Xeon Platinum 8156)	16	4	4	3600	32	1150	1080	Oct-2017
150	CINT2006rate	Lenovo Global Technology	ThinkSystem SR530 (3.60 GHz, Intel Xeon Platinum 8156)	8	2	4	3600	16	592	555	Sep-2017
151	CINT2006rate	Lenovo Global Technology	ThinkSystem SR550 (3.60 GHz, Intel Xeon Platinum 8156)	8	2	4	3600	16	592	556	Sep-2017
152	CINT2006rate	Lenovo Global Technology	ThinkSystem SR630 (2.00 GHz, Intel Xeon Platinum 8153)	32	2	16	2000	64	1430	1360	Oct-2017
153	CINT2006rate	Lenovo Global Technology	ThinkSystem SR630 (2.00 GHz, Intel Xeon Platinum 8164)	52	2	26	2000	104	2310	2200	Oct-2017
154	CINT2006rate	Lenovo Global Technology	ThinkSystem SR630 (2.10 GHz, Intel Xeon Platinum 8160)	48	2	24	2100	96	2250	2150	Oct-2017
155	CINT2006rate	Lenovo Global Technology	ThinkSystem SR630 (2.10 GHz, Intel Xeon Platinum 8160T)	48	2	24	2100	96	2220	2110	Oct-2017
156	CINT2006rate	Lenovo Global Technology	ThinkSystem SR630 (2.10 GHz, Intel Xeon Platinum 8170)	52	2	26	2100	104	2410	2300	Oct-2017
157	CINT2006rate	Lenovo Global Technology	ThinkSystem SR630 (2.10 GHz, Intel Xeon Platinum 8176)	56	2	28	2100	112	2560	2450	Oct-2017
